frame_index,flame2_rgb_path,flame2_thermal_path,matched_split
2077,raw\flame2\254p RGB Images\254p RGB Frame (2077).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (2077).jpg,test
2125,raw\flame2\254p RGB Images\254p RGB Frame (2125).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (2125).jpg,test
2149,raw\flame2\254p RGB Images\254p RGB Frame (2149).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (2149).jpg,test
2176,raw\flame2\254p RGB Images\254p RGB Frame (2176).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (2176).jpg,test
2308,raw\flame2\254p RGB Images\254p RGB Frame (2308).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (2308).jpg,test
2372,raw\flame2\254p RGB Images\254p RGB Frame (2372).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (2372).jpg,test
2494,raw\flame2\254p RGB Images\254p RGB Frame (2494).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (2494).jpg,test
2513,raw\flame2\254p RGB Images\254p RGB Frame (2513).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (2513).jpg,test
2521,raw\flame2\254p RGB Images\254p RGB Frame (2521).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (2521).jpg,test
2534,raw\flame2\254p RGB Images\254p RGB Frame (2534).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (2534).jpg,test
2603,raw\flame2\254p RGB Images\254p RGB Frame (2603).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (2603).jpg,val
2654,raw\flame2\254p RGB Images\254p RGB Frame (2654).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (2654).jpg,val
2806,raw\flame2\254p RGB Images\254p RGB Frame (2806).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (2806).jpg,val
2808,raw\flame2\254p RGB Images\254p RGB Frame (2808).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (2808).jpg,val
2856,raw\flame2\254p RGB Images\254p RGB Frame (2856).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (2856).jpg,val
2951,raw\flame2\254p RGB Images\254p RGB Frame (2951).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (2951).jpg,test
2974,raw\flame2\254p RGB Images\254p RGB Frame (2974).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (2974).jpg,test
2986,raw\flame2\254p RGB Images\254p RGB Frame (2986).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (2986).jpg,test
3037,raw\flame2\254p RGB Images\254p RGB Frame (3037).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (3037).jpg,test
3103,raw\flame2\254p RGB Images\254p RGB Frame (3103).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (3103).jpg,test
3149,raw\flame2\254p RGB Images\254p RGB Frame (3149).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (3149).jpg,test
3250,raw\flame2\254p RGB Images\254p RGB Frame (3250).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (3250).jpg,test
3355,raw\flame2\254p RGB Images\254p RGB Frame (3355).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (3355).jpg,test
3359,raw\flame2\254p RGB Images\254p RGB Frame (3359).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (3359).jpg,test
3422,raw\flame2\254p RGB Images\254p RGB Frame (3422).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (3422).jpg,test
3430,raw\flame2\254p RGB Images\254p RGB Frame (3430).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (3430).jpg,test
3431,raw\flame2\254p RGB Images\254p RGB Frame (3431).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (3431).jpg,test
3517,raw\flame2\254p RGB Images\254p RGB Frame (3517).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (3517).jpg,test
3649,raw\flame2\254p RGB Images\254p RGB Frame (3649).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (3649).jpg,test
3660,raw\flame2\254p RGB Images\254p RGB Frame (3660).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (3660).jpg,test
3726,raw\flame2\254p RGB Images\254p RGB Frame (3726).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (3726).jpg,test
3739,raw\flame2\254p RGB Images\254p RGB Frame (3739).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (3739).jpg,val
3741,raw\flame2\254p RGB Images\254p RGB Frame (3741).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (3741).jpg,val
3766,raw\flame2\254p RGB Images\254p RGB Frame (3766).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (3766).jpg,val
3845,raw\flame2\254p RGB Images\254p RGB Frame (3845).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (3845).jpg,val
4052,raw\flame2\254p RGB Images\254p RGB Frame (4052).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (4052).jpg,val
4107,raw\flame2\254p RGB Images\254p RGB Frame (4107).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (4107).jpg,test
4150,raw\flame2\254p RGB Images\254p RGB Frame (4150).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (4150).jpg,test
4169,raw\flame2\254p RGB Images\254p RGB Frame (4169).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (4169).jpg,test
4975,raw\flame2\254p RGB Images\254p RGB Frame (4975).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (4975).jpg,val
5054,raw\flame2\254p RGB Images\254p RGB Frame (5054).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (5054).jpg,val
5121,raw\flame2\254p RGB Images\254p RGB Frame (5121).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (5121).jpg,val
5136,raw\flame2\254p RGB Images\254p RGB Frame (5136).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (5136).jpg,val
5216,raw\flame2\254p RGB Images\254p RGB Frame (5216).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (5216).jpg,val
6145,raw\flame2\254p RGB Images\254p RGB Frame (6145).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (6145).jpg,val
6194,raw\flame2\254p RGB Images\254p RGB Frame (6194).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (6194).jpg,val
6254,raw\flame2\254p RGB Images\254p RGB Frame (6254).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (6254).jpg,val
6346,raw\flame2\254p RGB Images\254p RGB Frame (6346).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (6346).jpg,val
6393,raw\flame2\254p RGB Images\254p RGB Frame (6393).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (6393).jpg,val
7211,raw\flame2\254p RGB Images\254p RGB Frame (7211).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (7211).jpg,val
7212,raw\flame2\254p RGB Images\254p RGB Frame (7212).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (7212).jpg,val
7215,raw\flame2\254p RGB Images\254p RGB Frame (7215).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (7215).jpg,val
7237,raw\flame2\254p RGB Images\254p RGB Frame (7237).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (7237).jpg,val
7273,raw\flame2\254p RGB Images\254p RGB Frame (7273).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (7273).jpg,val
8351,raw\flame2\254p RGB Images\254p RGB Frame (8351).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (8351).jpg,val
8441,raw\flame2\254p RGB Images\254p RGB Frame (8441).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (8441).jpg,val
8461,raw\flame2\254p RGB Images\254p RGB Frame (8461).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (8461).jpg,val
8597,raw\flame2\254p RGB Images\254p RGB Frame (8597).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (8597).jpg,val
8622,raw\flame2\254p RGB Images\254p RGB Frame (8622).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (8622).jpg,val
9597,raw\flame2\254p RGB Images\254p RGB Frame (9597).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (9597).jpg,val
9715,raw\flame2\254p RGB Images\254p RGB Frame (9715).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (9715).jpg,val
9775,raw\flame2\254p RGB Images\254p RGB Frame (9775).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (9775).jpg,val
9826,raw\flame2\254p RGB Images\254p RGB Frame (9826).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (9826).jpg,val
9841,raw\flame2\254p RGB Images\254p RGB Frame (9841).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (9841).jpg,val
10758,raw\flame2\254p RGB Images\254p RGB Frame (10758).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (10758).jpg,val
10881,raw\flame2\254p RGB Images\254p RGB Frame (10881).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (10881).jpg,val
10903,raw\flame2\254p RGB Images\254p RGB Frame (10903).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (10903).jpg,val
10908,raw\flame2\254p RGB Images\254p RGB Frame (10908).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (10908).jpg,val
10915,raw\flame2\254p RGB Images\254p RGB Frame (10915).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (10915).jpg,val
11837,raw\flame2\254p RGB Images\254p RGB Frame (11837).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (11837).jpg,val
11853,raw\flame2\254p RGB Images\254p RGB Frame (11853).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (11853).jpg,val
12114,raw\flame2\254p RGB Images\254p RGB Frame (12114).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (12114).jpg,val
12269,raw\flame2\254p RGB Images\254p RGB Frame (12269).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (12269).jpg,val
12285,raw\flame2\254p RGB Images\254p RGB Frame (12285).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (12285).jpg,val
13111,raw\flame2\254p RGB Images\254p RGB Frame (13111).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (13111).jpg,val
13150,raw\flame2\254p RGB Images\254p RGB Frame (13150).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (13150).jpg,val
13225,raw\flame2\254p RGB Images\254p RGB Frame (13225).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (13225).jpg,val
13273,raw\flame2\254p RGB Images\254p RGB Frame (13273).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (13273).jpg,val
13319,raw\flame2\254p RGB Images\254p RGB Frame (13319).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (13319).jpg,val
14340,raw\flame2\254p RGB Images\254p RGB Frame (14340).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (14340).jpg,val
14355,raw\flame2\254p RGB Images\254p RGB Frame (14355).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (14355).jpg,val
14391,raw\flame2\254p RGB Images\254p RGB Frame (14391).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (14391).jpg,val
14412,raw\flame2\254p RGB Images\254p RGB Frame (14412).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (14412).jpg,val
14432,raw\flame2\254p RGB Images\254p RGB Frame (14432).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (14432).jpg,val
15183,raw\flame2\254p RGB Images\254p RGB Frame (15183).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (15183).jpg,val
15197,raw\flame2\254p RGB Images\254p RGB Frame (15197).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (15197).jpg,val
15201,raw\flame2\254p RGB Images\254p RGB Frame (15201).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (15201).jpg,val
15242,raw\flame2\254p RGB Images\254p RGB Frame (15242).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (15242).jpg,val
15341,raw\flame2\254p RGB Images\254p RGB Frame (15341).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (15341).jpg,val
16470,raw\flame2\254p RGB Images\254p RGB Frame (16470).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (16470).jpg,val
16503,raw\flame2\254p RGB Images\254p RGB Frame (16503).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (16503).jpg,val
16516,raw\flame2\254p RGB Images\254p RGB Frame (16516).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (16516).jpg,val
16565,raw\flame2\254p RGB Images\254p RGB Frame (16565).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (16565).jpg,val
16584,raw\flame2\254p RGB Images\254p RGB Frame (16584).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (16584).jpg,val
17473,raw\flame2\254p RGB Images\254p RGB Frame (17473).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (17473).jpg,val
17502,raw\flame2\254p RGB Images\254p RGB Frame (17502).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (17502).jpg,val
17535,raw\flame2\254p RGB Images\254p RGB Frame (17535).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (17535).jpg,val
17548,raw\flame2\254p RGB Images\254p RGB Frame (17548).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (17548).jpg,val
17580,raw\flame2\254p RGB Images\254p RGB Frame (17580).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (17580).jpg,val
18323,raw\flame2\254p RGB Images\254p RGB Frame (18323).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (18323).jpg,test
18538,raw\flame2\254p RGB Images\254p RGB Frame (18538).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (18538).jpg,test
18544,raw\flame2\254p RGB Images\254p RGB Frame (18544).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (18544).jpg,test
18577,raw\flame2\254p RGB Images\254p RGB Frame (18577).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (18577).jpg,test
18620,raw\flame2\254p RGB Images\254p RGB Frame (18620).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (18620).jpg,test
18637,raw\flame2\254p RGB Images\254p RGB Frame (18637).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (18637).jpg,val
18809,raw\flame2\254p RGB Images\254p RGB Frame (18809).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (18809).jpg,val
18830,raw\flame2\254p RGB Images\254p RGB Frame (18830).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (18830).jpg,val
18842,raw\flame2\254p RGB Images\254p RGB Frame (18842).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (18842).jpg,val
19059,raw\flame2\254p RGB Images\254p RGB Frame (19059).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (19059).jpg,val
19166,raw\flame2\254p RGB Images\254p RGB Frame (19166).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (19166).jpg,test
19222,raw\flame2\254p RGB Images\254p RGB Frame (19222).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (19222).jpg,test
19274,raw\flame2\254p RGB Images\254p RGB Frame (19274).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (19274).jpg,test
19317,raw\flame2\254p RGB Images\254p RGB Frame (19317).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (19317).jpg,test
19318,raw\flame2\254p RGB Images\254p RGB Frame (19318).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (19318).jpg,test
19336,raw\flame2\254p RGB Images\254p RGB Frame (19336).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (19336).jpg,test
19497,raw\flame2\254p RGB Images\254p RGB Frame (19497).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (19497).jpg,test
19503,raw\flame2\254p RGB Images\254p RGB Frame (19503).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (19503).jpg,test
19509,raw\flame2\254p RGB Images\254p RGB Frame (19509).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (19509).jpg,test
19512,raw\flame2\254p RGB Images\254p RGB Frame (19512).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (19512).jpg,test
19521,raw\flame2\254p RGB Images\254p RGB Frame (19521).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (19521).jpg,test
19572,raw\flame2\254p RGB Images\254p RGB Frame (19572).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (19572).jpg,test
19601,raw\flame2\254p RGB Images\254p RGB Frame (19601).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (19601).jpg,test
19620,raw\flame2\254p RGB Images\254p RGB Frame (19620).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (19620).jpg,test
19630,raw\flame2\254p RGB Images\254p RGB Frame (19630).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (19630).jpg,test
19728,raw\flame2\254p RGB Images\254p RGB Frame (19728).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (19728).jpg,test
19840,raw\flame2\254p RGB Images\254p RGB Frame (19840).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (19840).jpg,val
20011,raw\flame2\254p RGB Images\254p RGB Frame (20011).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (20011).jpg,val
20028,raw\flame2\254p RGB Images\254p RGB Frame (20028).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (20028).jpg,val
20037,raw\flame2\254p RGB Images\254p RGB Frame (20037).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (20037).jpg,val
20058,raw\flame2\254p RGB Images\254p RGB Frame (20058).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (20058).jpg,val
20103,raw\flame2\254p RGB Images\254p RGB Frame (20103).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (20103).jpg,test
20113,raw\flame2\254p RGB Images\254p RGB Frame (20113).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (20113).jpg,test
20168,raw\flame2\254p RGB Images\254p RGB Frame (20168).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (20168).jpg,test
20194,raw\flame2\254p RGB Images\254p RGB Frame (20194).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (20194).jpg,test
20195,raw\flame2\254p RGB Images\254p RGB Frame (20195).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (20195).jpg,test
20339,raw\flame2\254p RGB Images\254p RGB Frame (20339).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (20339).jpg,test
20367,raw\flame2\254p RGB Images\254p RGB Frame (20367).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (20367).jpg,test
20382,raw\flame2\254p RGB Images\254p RGB Frame (20382).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (20382).jpg,test
20400,raw\flame2\254p RGB Images\254p RGB Frame (20400).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (20400).jpg,test
20701,raw\flame2\254p RGB Images\254p RGB Frame (20701).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (20701).jpg,val
20785,raw\flame2\254p RGB Images\254p RGB Frame (20785).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (20785).jpg,val
20870,raw\flame2\254p RGB Images\254p RGB Frame (20870).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (20870).jpg,val
20990,raw\flame2\254p RGB Images\254p RGB Frame (20990).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (20990).jpg,val
21015,raw\flame2\254p RGB Images\254p RGB Frame (21015).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (21015).jpg,val
21790,raw\flame2\254p RGB Images\254p RGB Frame (21790).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (21790).jpg,val
21801,raw\flame2\254p RGB Images\254p RGB Frame (21801).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (21801).jpg,val
21851,raw\flame2\254p RGB Images\254p RGB Frame (21851).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (21851).jpg,val
21861,raw\flame2\254p RGB Images\254p RGB Frame (21861).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (21861).jpg,val
21896,raw\flame2\254p RGB Images\254p RGB Frame (21896).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (21896).jpg,val
22537,raw\flame2\254p RGB Images\254p RGB Frame (22537).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (22537).jpg,val
22550,raw\flame2\254p RGB Images\254p RGB Frame (22550).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (22550).jpg,val
22593,raw\flame2\254p RGB Images\254p RGB Frame (22593).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (22593).jpg,val
22597,raw\flame2\254p RGB Images\254p RGB Frame (22597).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (22597).jpg,val
22656,raw\flame2\254p RGB Images\254p RGB Frame (22656).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (22656).jpg,val
23440,raw\flame2\254p RGB Images\254p RGB Frame (23440).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (23440).jpg,val
23551,raw\flame2\254p RGB Images\254p RGB Frame (23551).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (23551).jpg,val
23562,raw\flame2\254p RGB Images\254p RGB Frame (23562).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (23562).jpg,val
23564,raw\flame2\254p RGB Images\254p RGB Frame (23564).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (23564).jpg,val
23703,raw\flame2\254p RGB Images\254p RGB Frame (23703).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (23703).jpg,val
24138,raw\flame2\254p RGB Images\254p RGB Frame (24138).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (24138).jpg,test
24144,raw\flame2\254p RGB Images\254p RGB Frame (24144).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (24144).jpg,test
24153,raw\flame2\254p RGB Images\254p RGB Frame (24153).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (24153).jpg,test
24418,raw\flame2\254p RGB Images\254p RGB Frame (24418).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (24418).jpg,test
24435,raw\flame2\254p RGB Images\254p RGB Frame (24435).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (24435).jpg,test
24488,raw\flame2\254p RGB Images\254p RGB Frame (24488).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (24488).jpg,test
24542,raw\flame2\254p RGB Images\254p RGB Frame (24542).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (24542).jpg,test
24555,raw\flame2\254p RGB Images\254p RGB Frame (24555).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (24555).jpg,test
24618,raw\flame2\254p RGB Images\254p RGB Frame (24618).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (24618).jpg,test
24635,raw\flame2\254p RGB Images\254p RGB Frame (24635).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (24635).jpg,val
24768,raw\flame2\254p RGB Images\254p RGB Frame (24768).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (24768).jpg,val
24784,raw\flame2\254p RGB Images\254p RGB Frame (24784).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (24784).jpg,val
